Epoch,Ep_Reward
0.0,-314.6914237015749
1.0,-226.96623032079668
2.0,-274.4085022078914
3.0,-258.3297382405522
4.0,-198.23303387971123
5.0,-329.4263464661417
6.0,-257.2967878951904
7.0,-559.106895382787
8.0,-284.40692408908603
9.0,-228.23349564448984
10.0,-266.6022191803487
11.0,-367.9612528979975
12.0,-374.2053413791649
13.0,-356.88367896813446
14.0,-309.5252296635132
15.0,-99.12364513887228
16.0,-327.5281253904226
17.0,-338.0782332244495
18.0,-28.3148169111238
19.0,-287.8284902895185
20.0,-378.0433706371749
21.0,-51.423444438586365
22.0,-367.04304915443225
23.0,-254.75716990525714
24.0,-353.5957045214112
25.0,-133.37813103637802
26.0,-388.8598115968054
27.0,-317.8753658223334
28.0,-321.17050393107957
29.0,-251.40113499241312
30.0,-349.26926198313765
31.0,-355.27977660748104
32.0,-450.7844753062364
33.0,-177.74689949284797
34.0,-63.186373773561826
35.0,-78.52502606344557
36.0,-157.48079829347188
37.0,-170.5473446270093
38.0,-112.74135171323465
39.0,-459.50451733229346
40.0,-599.5475364888097
41.0,-185.2455034479944
42.0,-140.21263920962687
43.0,-450.472754632746
44.0,-122.53484937264442
45.0,-487.43205332569386
46.0,-272.65406799637196
47.0,-230.05472153862138
48.0,-373.6503490476555
49.0,-295.9892980396352
50.0,-78.49479479830197
51.0,-151.14995385091774
52.0,-382.0539028988371
53.0,-222.1951190371911
54.0,-64.28728712005478
55.0,-45.64913323940305
56.0,-51.201238955661275
57.0,-306.28146546971436
58.0,-105.88323093360484
59.0,-328.19243318701876
60.0,-185.2756608518161
61.0,-142.01137729042296
62.0,-324.5357260733215
63.0,-113.33013670766783
64.0,-69.38039211283669
65.0,-93.62293769707735
66.0,-326.4572409922084
67.0,-278.4697222601709
68.0,-318.0129363122576
69.0,-316.46374865317205
70.0,-116.40301131966801
71.0,-348.47352839209884
72.0,-100.02505929546459
73.0,-83.19888346305285
74.0,-9.711384538714867
75.0,-79.22229498918757
76.0,-258.9098651586997
77.0,-97.9640562436513
78.0,-268.1556367645918
79.0,-173.76821713068972
80.0,-261.2191666461856
81.0,-68.12753764176053
82.0,-44.94392657799233
83.0,-78.1196799914905
84.0,-147.5592913008755
85.0,-74.55081566073879
86.0,-403.06617362291206
87.0,-367.0839124759299
88.0,-184.0517097426124
89.0,-133.42654417615745
90.0,-96.48089396117254
91.0,-81.10380035763976
92.0,-43.68520010840422
93.0,-101.88588715611237
94.0,-68.72524932177639
95.0,-92.90160045222986
96.0,-178.63943560950457
97.0,-362.6635148381873
98.0,-175.82217871669806
99.0,-285.35445777817586
100.0,-238.98410584565408
101.0,-91.90245944836188
102.0,-51.823389231355854
103.0,-124.82583963484113
104.0,-173.0346477944346
105.0,-158.55266631924525
106.0,-88.73160052320723
107.0,-89.63894039657302
108.0,-122.60295247436824
109.0,-191.76179861966762
110.0,-122.71340424921209
111.0,-231.3787867772046
112.0,-327.4346564133373
113.0,-118.72107586483575
114.0,-138.42632821317585
115.0,-245.35631930009546
116.0,-206.8573667438755
117.0,-86.42021226586296
118.0,-167.11085162282546
119.0,-325.50144944178726
120.0,-304.77398629803275
121.0,-108.87309052819955
122.0,-136.5783156844755
123.0,-76.49110679919073
124.0,-194.35831981080025
125.0,-55.20705075771615
126.0,-91.2495948839458
127.0,-282.0226093207741
128.0,-240.26597210156112
129.0,-264.2401011607365
130.0,-88.18986784653447
131.0,-130.51961070736948
132.0,-116.72717601892207
133.0,-113.59306420635534
134.0,-10.891703902113747
