Epoch,Ep_Reward
0.0,-338.21408379723937
1.0,-56.099641196861334
2.0,-96.55486790899451
3.0,-256.6252387912327
4.0,-311.8747382682279
5.0,-346.3326008526293
6.0,-258.71603694939586
7.0,-51.16626313782895
8.0,-274.38721540434005
9.0,-274.1847114239972
10.0,-331.8728464371728
11.0,-200.5882245468439
12.0,-76.51971943875327
13.0,-526.84510805182
14.0,-346.7550498476214
15.0,-213.75331441627978
16.0,-102.20313663689362
17.0,-338.15564807380747
18.0,-166.02520309928263
19.0,-336.9998728698855
20.0,-242.90983705746297
21.0,-269.81868888552094
22.0,-125.66545167296212
23.0,-246.87895124456412
24.0,-217.95822184786698
25.0,-416.24763527211246
26.0,-408.96903169115114
27.0,-325.4579853597645
28.0,-84.43958730427761
29.0,-142.0647423632773
30.0,-339.28546329487654
31.0,-26.133692731668617
32.0,-136.92921291825
33.0,-80.88497106068016
34.0,-116.47441361925559
35.0,-66.32518026278595
36.0,-103.96393485501977
37.0,-140.66030847456102
38.0,-92.75366674533906
39.0,-22.442874256742783
40.0,-91.57202959387006
41.0,-157.349568708834
42.0,-272.1799510996415
43.0,-133.1739180007222
44.0,-75.45375836692716
45.0,-248.64202771691762
46.0,-85.14865940225386
47.0,-136.5100084838828
48.0,-46.08845963670433
49.0,-155.10954345877275
50.0,-235.18751269352185
51.0,-256.2548928016523
52.0,-171.07764668853184
53.0,-238.9891071273381
54.0,-179.3180611557808
55.0,-148.76225066341652
56.0,-152.7967110190342
57.0,-112.72812263300347
58.0,-248.9099505072394
59.0,-82.82576047459956
60.0,-258.6699856748769
61.0,-277.6413168374262
62.0,-429.2641146542692
63.0,-143.09359569965937
64.0,-140.52902868627638
65.0,-174.8783384064132
66.0,-145.2923383657888
67.0,-101.19636186135105
68.0,-124.88851054511272
69.0,-89.31047991309387
70.0,-177.30770602875907
71.0,-114.05001162087743
72.0,-132.39566177241923
73.0,11.974540428237717
74.0,-113.48107123903785
75.0,-129.93732292028488
76.0,-168.1155592497059
77.0,-142.69826894368026
78.0,-149.9480744843726
79.0,5.256633728262329
80.0,-128.4462840394045
81.0,-165.7381122276426
82.0,-148.54565893738527
83.0,-129.7472862023485
84.0,-147.012211920677
85.0,-125.87018669323436
86.0,-122.25216871568267
87.0,-126.94527414152046
88.0,-148.4204198876776
89.0,-146.9214732460355
90.0,-130.23052226292526
91.0,-155.08205101606998
92.0,-148.294316262142
93.0,-129.04331787064402
94.0,-157.05343098781975
95.0,-139.06579174712638
96.0,-123.40642539777048
97.0,-101.20616156070565
98.0,-137.47226803399641
99.0,-196.42246769230195
100.0,-140.16594061749396
101.0,-120.51234756899308
102.0,-126.51267181101827
103.0,-123.79849476206422
104.0,-154.61065470205824
105.0,-139.96904220538698
106.0,-122.42802534970662
107.0,-136.88295604935723
108.0,-88.97099522631729
109.0,-135.53337427378986
110.0,-133.90265213044154
111.0,-219.7468217784035
112.0,-102.0378880742376
113.0,-210.96940945670156
114.0,-130.94816214396158
115.0,-92.27927541070491
116.0,-37.25516209648032
117.0,2.1116518022668913
118.0,-125.25453124008652
119.0,-96.65778409088628
120.0,-34.22346346343923
121.0,-163.79392015926913
122.0,-172.66367120200314
123.0,-120.23468518259108
124.0,-106.65513860893932
125.0,-121.66049943393182
126.0,-138.0927430629041
127.0,-130.020600525257
128.0,-145.81762617852362
129.0,-115.97285443747762
130.0,-120.14941577499704
131.0,-132.46555396235448
132.0,-114.98603216478361
133.0,-132.32449233707672
134.0,-92.30141989268282
135.0,-107.1092836511342
136.0,-94.52311529382644
137.0,-144.99258658118453
138.0,-89.40458066402584
139.0,-122.22467337607193
140.0,-88.94772546203546
141.0,-106.90847894627152
142.0,-104.77465460649026
143.0,-123.94604717624054
144.0,-146.92391744137987
145.0,-136.87759422459823
146.0,-102.36400569128392
147.0,-126.23588031130942
148.0,-119.92414592131382
149.0,-138.0012381999122
150.0,-114.76922838631808
151.0,-145.756719015622
152.0,-216.7762913524776
153.0,-156.83550102895668
154.0,-164.95449825785226
155.0,-136.93231098617161
156.0,-120.72424416648309
157.0,-155.7188528500846
158.0,-163.68427130008416
159.0,-213.2990661955227
160.0,-125.42656407162389
161.0,-149.00550668938234
162.0,-107.6528849661677
163.0,-155.16790839228588
164.0,-106.25268717245845
165.0,-91.34277794609204
166.0,-117.77312935636897
167.0,-114.11240329909606
168.0,-143.32581370246407
169.0,-8.716956323700458
170.0,-130.9456750889564
171.0,-136.9221236028219
172.0,-123.54363771659536
173.0,-206.7877886757484
174.0,-157.61767362092647
175.0,-130.4121917101115
176.0,-148.79514615870409
177.0,-163.87989548716848
178.0,-140.03035051571362
179.0,-146.14061884072072
180.0,-147.3869956177459
181.0,-300.61636573169164
182.0,-99.31425128406656
183.0,-153.73768384634852
184.0,-115.01846735921387
185.0,-89.85577863392433
186.0,-154.54183116234233
187.0,-179.71407879953495
188.0,-149.13378156090815
189.0,-110.82451428228549
190.0,-186.92525180130303
191.0,-110.85408515435452
192.0,-136.98214242959713
193.0,-146.10948661313915
194.0,-117.26738218417057
195.0,-181.12616399565331
196.0,-155.3231841072034
197.0,-141.38290489601948
198.0,-150.38357323715363
199.0,-157.05796476429035
200.0,-106.4658725674833
201.0,-199.37858043964422
202.0,-144.39176459795806
203.0,-103.21747892491348
204.0,-173.06463459711796
205.0,-113.928273102769
206.0,-160.33027452203999
207.0,-173.56792977300026
208.0,-8.478151935901877
209.0,-114.43319633835347
210.0,-103.54116484819846
211.0,-6.825710262740785
212.0,-340.686962986679
213.0,-102.27113227272758
214.0,-118.46951595468508
215.0,-134.27877096200376
216.0,-7.291805242998805
217.0,-126.77594321470525
218.0,-188.6900273048974
219.0,-117.12740205698361
220.0,-0.38175189977411605
221.0,-119.1098998322745
222.0,-141.53325633707465
223.0,-116.21319955714355
224.0,-141.93164922379827
225.0,-181.2565671846976
226.0,-127.88941635957883
227.0,-133.85451824238785
228.0,-98.31350270820766
229.0,-133.67997800518395
230.0,-187.0816914360248
231.0,-66.1580606056319
232.0,-136.6401935194549
233.0,-168.77798669761012
234.0,-129.29884665237586
235.0,-122.84997674182353
236.0,-181.1835362435656
237.0,-114.40408517773153
238.0,-163.47626233797862
239.0,-113.7253776888586
240.0,-143.278504880933
241.0,-27.60562400486097
242.0,-94.79919372259806
243.0,-90.34304209666786
244.0,-95.23889695366839
245.0,-131.41129232390225
246.0,-104.82907020192704
247.0,-87.62260378897679
248.0,-131.38795802740697
249.0,-97.11787777060013
250.0,-127.05693477833984
251.0,-20.90351247752278
252.0,-192.11583118874051
253.0,-114.2931017150135
254.0,-94.45745095448774
255.0,-90.10682198902711
256.0,-157.96197786294047
257.0,30.76510433847824
258.0,-184.67251779657656
259.0,-86.03997384655403
260.0,-140.41797819504853
261.0,-119.37569787030196
262.0,-132.10168774110156
263.0,-124.87103297853815
264.0,-153.90958987337288
265.0,-120.64056755283633
266.0,-177.4465591500412
267.0,-119.1233533663929
268.0,-135.12831775853485
269.0,-114.92219238596826
270.0,-133.13014614958396
271.0,-92.69697068747294
272.0,-132.24488885658002
273.0,-115.43964603767651
274.0,-121.46011553744842
275.0,-181.31830433507878
276.0,-131.04137750120844
277.0,-125.54889707915478
278.0,-139.18647854958098
279.0,-179.58154889366034
280.0,-164.59665894109602
281.0,-123.72989602720352
282.0,-143.0496644115571
283.0,-105.50394543926018
