Epoch,Ep_Reward
0.0,-342.2306625969592
1.0,-512.2715072618257
2.0,-399.19837593709997
3.0,-463.6628346996158
4.0,-114.82135250032907
5.0,-541.2513646583913
6.0,-315.3056848334455
7.0,-223.07701291116075
8.0,-423.22371243126304
9.0,-113.28067522682889
10.0,-202.73880882861047
11.0,-246.0899906085263
12.0,-80.17009838165986
13.0,-650.0212950414875
14.0,-443.3255578766451
15.0,-426.75580662556075
16.0,-478.4381920062228
17.0,4.398042940580368
18.0,-334.5090405426118
19.0,-277.05962811331847
20.0,-346.4744617546131
21.0,-269.5440573683466
22.0,-424.062499426982
23.0,-395.7474680090857
24.0,-539.9721499391231
25.0,9.164238570057123
26.0,-336.5253977998394
27.0,-344.2360800010059
28.0,-238.90975079917803
29.0,-478.88567773492923
30.0,-681.2444307625818
31.0,-383.3069232649139
32.0,-504.4840634415309
33.0,-608.8894074106668
34.0,-394.65160310647167
35.0,-188.7578271838319
36.0,-560.4604608189691
37.0,-761.5358406764144
38.0,-453.8651669622962
39.0,-535.714017995326
40.0,-489.8830367166757
41.0,-533.1284330720814
42.0,-529.7043564834573
43.0,-333.66510224309894
44.0,-662.9882323232075
45.0,-355.0279046355979
46.0,-129.6580727518285
47.0,-468.21746227131723
48.0,-339.02380596467174
49.0,-395.831653944758
50.0,-162.96621814043695
51.0,-531.6963807755459
52.0,-454.3589211993657
53.0,-665.6341868695845
54.0,-496.75117176028357
55.0,-167.03076332826487
56.0,-181.20400494309555
57.0,-776.8417909089916
58.0,-377.648426235887
59.0,-603.5564362169174
60.0,-481.7321428534369
61.0,-401.43523814416767
62.0,-705.195676215782
63.0,-418.8391564080383
64.0,-196.78000022527266
65.0,-692.3473419460503
66.0,-619.3394525254295
67.0,-783.5908460871907
68.0,-491.0588709223964
69.0,-24.208727085495084
70.0,-373.09555214945266
71.0,-397.4173786765415
72.0,-280.64619408180033
73.0,-250.10827880287258
74.0,-261.3768718621852
75.0,-205.57722707425057
76.0,-476.4104648098051
77.0,-221.21774081593796
78.0,-412.7684683511723
79.0,-269.509633666177
80.0,-144.44286752118512
81.0,-217.62453937962414
82.0,-590.4822681909343
83.0,-642.9161604355019
84.0,-391.7454258611349
85.0,-691.4250514208859
86.0,-221.86529672481598
87.0,-142.00952472132846
88.0,-412.2581496502293
89.0,-202.9171180089158
90.0,-598.8854163693373
91.0,-557.3982632792063
92.0,-446.7992699338272
93.0,-528.8903327309047
94.0,-501.39711286177874
95.0,-496.96027850906285
96.0,-101.81604113553156
97.0,-539.4934403523354
98.0,-215.70917016727032
99.0,-307.49653210069675
100.0,-438.9335473534639
101.0,-598.2940129539885
102.0,-358.98784867663636
103.0,-354.1355110180425
104.0,-464.90074437009264
105.0,-316.7437313769908
106.0,-429.9297372237757
107.0,-471.0522600585636
108.0,-424.7690472645681
109.0,-588.115139432043
110.0,-358.11610719479603
111.0,-425.33103286713515
112.0,-335.32741108122434
113.0,-410.2436767825408
114.0,-554.2613090026526
115.0,-168.01440731093535
116.0,-523.3357827408133
117.0,-255.1033391857324
118.0,-315.40882205981677
119.0,-378.2607514012581
120.0,-609.7091680380865
121.0,-575.2468158805789
122.0,-273.03095260861033
123.0,-389.0563349200527
124.0,-494.4859026932309
125.0,-349.25213236404073
126.0,-457.22839231104376
127.0,-374.70652562624616
128.0,-307.5577426639122
129.0,-217.94129395175554
130.0,-642.9107559124254
131.0,-611.782547320068
132.0,-386.3838269392433
133.0,-377.8491258086285
134.0,-248.50651526912623
135.0,-552.1220948497247
136.0,-298.14954238913845
137.0,-742.6178460813028
138.0,-430.1707980573547
139.0,-530.7473896958261
140.0,-465.0787090745149
141.0,-617.0135701896402
142.0,-657.0521696420188
143.0,-413.1249877752375
144.0,-337.96055851776765
145.0,-382.8750013828886
146.0,-242.00136183258775
147.0,-462.1523773107378
148.0,-252.64020868537204
149.0,-398.68924776156217
150.0,-539.3693420160189
151.0,-515.8654454135137
152.0,-324.5905684002955
153.0,-517.3410762204405
154.0,-328.72912364459796
155.0,-225.6061129431046
156.0,-431.26374276068924
157.0,-290.23453179619986
