Epoch,Ep_Reward
0.0,-271.95295386822977
1.0,-47.593764437835944
2.0,-201.25632119383505
3.0,-294.26201708074245
4.0,-387.12912216349184
5.0,-101.88376768921876
6.0,-279.170850282994
7.0,-537.9661764961369
8.0,-281.1482128557985
9.0,-454.9485185693969
10.0,-221.99201542589984
11.0,-318.8259811037198
12.0,-91.54692616001438
13.0,-472.2638939495894
14.0,-237.6970113531512
15.0,-130.3020284744847
16.0,-276.50284565774456
17.0,-374.9671369208087
18.0,-429.6038897885707
19.0,-74.89504520464166
20.0,-403.19364389584604
21.0,-210.29892527561174
22.0,-417.55368593335635
23.0,-267.5608441365901
24.0,-253.5465382132454
25.0,-241.58914062934087
26.0,-227.60185002592226
27.0,-156.76993585985062
28.0,-69.0243731699425
29.0,-59.023430213004936
30.0,-89.56890442207965
31.0,-356.4086706642506
32.0,-185.5264642094545
33.0,-135.16241059465779
34.0,-262.28312253432983
35.0,-113.45375128580669
36.0,-302.24368362018186
37.0,-175.9620132483539
38.0,-289.3335400632885
39.0,-251.90480378231518
40.0,-66.38184797691648
41.0,-285.4508666111848
42.0,-450.76613356506175
43.0,-189.48764398567886
44.0,-236.06313336371073
45.0,-439.1343450791604
46.0,-381.809742335959
47.0,-63.57688676383347
48.0,-152.46920604709
49.0,-228.18810317478744
50.0,-312.8661043569864
51.0,-268.64989314991965
52.0,-308.792707778415
53.0,-318.85483481596316
54.0,-394.6581506735935
55.0,-401.98175602225433
56.0,-285.18150160772996
57.0,-104.88987865553182
58.0,-70.28776820816765
59.0,-362.55748224084124
60.0,-400.4347143846644
61.0,-51.25692210758501
62.0,-212.8937708731506
63.0,-113.81920992629566
64.0,-245.9974955669929
65.0,-385.7714810036496
66.0,-146.0377660093243
67.0,-135.60478916094993
68.0,-125.73167762781209
69.0,-88.15249298918471
70.0,-368.83613472096636
71.0,-83.11067373001426
72.0,-334.47913078348836
73.0,-303.719377265121
74.0,-318.4023355314604
75.0,-209.86976597749123
76.0,-81.32494178982017
77.0,-80.72639147230726
78.0,-63.78850333357904
79.0,-79.40726895027973
80.0,-221.281325601609
81.0,-110.01566028272775
82.0,-293.1010986458511
83.0,-318.79136284594233
84.0,-328.58875710104303
85.0,-164.60394460778124
86.0,-326.1370182288466
87.0,-365.7739920220586
88.0,-390.7367709779669
89.0,-95.40177601739906
90.0,-75.68948836280403
91.0,-47.673955130821376
92.0,-478.0820211813186
93.0,-79.3378025791091
94.0,-288.88977620983883
95.0,-78.62758040785329
96.0,-97.84731146681361
97.0,-215.6777163571113
98.0,-68.14017175304394
99.0,-412.0643530017528
100.0,-121.4863473049084
101.0,-87.36834103580964
102.0,-415.3740691247018
103.0,-353.36357531768044
104.0,-66.89230518372995
105.0,14.241132927263195
106.0,-209.6122191999969
107.0,-493.2327926833617
108.0,-337.45477389335576
