Epoch,Ep_Reward
0.0,-306.06962177660415
1.0,-79.7784360531155
2.0,-192.52490554537601
3.0,-221.46090274636452
4.0,-198.53264569759833
5.0,-118.19932931184553
6.0,-67.74113581254029
7.0,-348.9605639142019
8.0,-63.08028620475849
9.0,-459.0501579284807
10.0,-284.077923634425
11.0,-189.915608751442
12.0,-225.5417083837197
13.0,-113.40032134298332
14.0,-116.6525534709199
15.0,-290.0380093450837
16.0,-56.23810097784448
17.0,-51.5566824484483
18.0,-297.8719291263294
19.0,-378.86418960533376
20.0,-225.16657416483127
21.0,-392.5097793242374
22.0,-355.9174113738301
23.0,-321.0311883267017
24.0,-111.94260617147805
25.0,-265.3336172308826
26.0,-107.61604553463025
27.0,-344.9483450191203
28.0,-60.9777682599271
29.0,-85.87941110189215
30.0,-229.22584823560842
31.0,-53.85570372023421
32.0,-456.1782517319327
33.0,-220.95375217877165
34.0,-437.57619610508135
35.0,-282.24055676838697
36.0,-384.473883716578
37.0,-83.70571880926144
38.0,-87.62136791845919
39.0,-123.22316541200735
40.0,-133.84297238534467
41.0,-91.81196613176694
42.0,-195.91458730963006
43.0,-362.86589156169975
44.0,-376.59061356316295
45.0,-417.36134481462875
46.0,-274.77763394359636
47.0,-216.48508158363597
48.0,-406.7417893804652
49.0,-357.2144573397605
50.0,-108.9383871158147
51.0,-5.685861100217949
52.0,-310.84649019008464
53.0,-214.35667378565978
54.0,-331.2630308165474
55.0,-384.3247762219551
56.0,-11.570191376769387
57.0,-208.7084581991446
58.0,-287.7838870966294
59.0,-107.8459868980913
60.0,-319.4775117688098
61.0,-125.05541018021654
62.0,-115.53814859378497
63.0,-120.34374118954159
64.0,-54.28771974092301
65.0,-454.58250320580646
66.0,-400.5420208258115
67.0,-199.59973679243876
68.0,-54.170355098623254
69.0,-179.307292882617
70.0,-360.12486639466704
71.0,-348.0166831403599
72.0,-72.2761642199753
73.0,-121.54807812797625
74.0,-165.6461906058894
75.0,-124.39535851461021
76.0,-200.209144668298
77.0,-209.17795418880684
78.0,-263.9174322828028
79.0,-51.721730554715975
80.0,-84.10415475487001
81.0,-284.7715946300092
82.0,-106.53804968294384
83.0,-194.2718501667357
84.0,-85.15030338433213
85.0,-267.6457819114663
86.0,-174.499219726461
87.0,-80.13478030695742
88.0,-109.19070369011514
89.0,-411.8355262213371
90.0,-62.87263772003365
91.0,-96.65722341388279
92.0,-334.9598017085116
93.0,-271.38153098829684
94.0,-102.73520512209681
95.0,-104.09671392727492
96.0,-291.3336902264314
97.0,-19.87859690941086
98.0,-43.33414021237196
99.0,-92.78718990124497
100.0,-111.72721080532546
101.0,-134.59703621138743
102.0,-259.3877366742971
103.0,-64.62710472776156
104.0,-114.55517542814016
105.0,-111.49580490564782
106.0,-302.24827460790596
107.0,-84.1800033602359
108.0,-76.45125372617474
109.0,-66.17989491264683
110.0,-164.68070649032103
111.0,-43.94618497209791
112.0,-80.46503193940583
113.0,-88.2946987581952
114.0,-103.97987989339995
115.0,-91.18088204108678
116.0,-129.32982836881547
117.0,-178.82764692189045
118.0,-87.38623996172379
119.0,-107.94138482804165
120.0,-134.82182133945372
121.0,-272.67472887122665
122.0,-175.85083609410026
123.0,-213.941533625634
124.0,-200.80179672802154
125.0,-298.7909770365204
126.0,-107.45221775944432
127.0,77.53132767072957
128.0,-140.77294651812377
129.0,-230.85574548101516
130.0,-187.98665411585762
131.0,-59.40382779417677
132.0,-89.23309255851576
133.0,-54.52522804573934
134.0,-91.58172650270718
135.0,-281.2394844318975
136.0,-202.1798998604389
137.0,-92.40048504229581
138.0,-109.2935659841899
139.0,-117.70353872144247
140.0,-113.32757129507999
141.0,-84.96274409407172
142.0,-122.82053608218997
143.0,-60.586030245965006
144.0,-291.2737318631625
145.0,-77.60981475175741
146.0,-106.77681919585743
147.0,-174.74098104628996
148.0,-206.57628997998023
149.0,-98.67374386391545
150.0,-94.64557232308036
151.0,-84.46119875823226
152.0,-335.7293419707682
153.0,-91.21010811285868
154.0,-229.24040598746745
155.0,-152.45739473186222
156.0,-48.507961541414204
157.0,-137.09827015041873
158.0,-70.49713037818358
159.0,-354.0164984664637
160.0,-170.50486205830563
161.0,-68.17622176094005
162.0,-106.86045467830104
163.0,-150.32904330939584
164.0,-137.1969877389327
165.0,-272.50112141491303
166.0,-122.04704137172817
167.0,-277.2460803881666
168.0,-305.35423777559566
169.0,-88.67468980555884
170.0,-75.90545972333038
171.0,-217.90380055201615
172.0,-170.3275541521578
173.0,-241.97110321952883
174.0,-144.8802505982909
175.0,-268.99850664802557
176.0,-163.93507894117388
177.0,-89.78549564780273
178.0,-233.47300506129093
179.0,-143.95522638234556
180.0,-96.18716861947739
181.0,-104.07939996944037
182.0,-174.4768497715485
183.0,-61.8108000303525
184.0,-100.27617049700349
185.0,-72.02855254998047
186.0,-193.17150628291375
187.0,-108.9194901749689
188.0,-83.24543897316288
189.0,-118.82096565476343
190.0,-51.62679992598409
191.0,-156.06312785200944
192.0,76.18963406119632
193.0,-137.24486470307494
194.0,-78.18906257288523
195.0,-122.68824294769175
196.0,-98.41992835532045
197.0,-72.136759589613
198.0,-278.2686613658742
199.0,-167.9526124478139
200.0,-88.73967238249185
201.0,-63.930181496527354
202.0,-68.57586653217723
203.0,-132.35075737333798
204.0,-109.06618351643613
205.0,-169.98583049392425
206.0,-126.03742915203196
207.0,-280.1638453507412
208.0,-125.39388571281512
209.0,-191.712875005763
210.0,-256.32394740355926
211.0,-143.97479312557732
212.0,-110.99611390363293
213.0,-66.94145757312238
214.0,-192.09660552894925
215.0,-132.16991073375638
216.0,-117.23353548851118
217.0,-206.30618320578174
218.0,-109.1025572732321
219.0,-129.81738113876403
220.0,-144.64472073456767
221.0,-246.30389916702453
222.0,-118.18955079950774
223.0,-101.93277164276869
224.0,-261.7279647244284
225.0,-92.77918157797015
226.0,-237.78600065715932
227.0,-119.54842889020887
228.0,-278.25136160453155
229.0,-122.59695439638561
230.0,-73.38465817323123
231.0,-104.0482395017961
232.0,-105.86192621007923
233.0,-100.23261618253355
234.0,-150.55734718244454
235.0,-57.39193592461989
236.0,-168.83969485772045
237.0,-129.36859118420722
238.0,-128.68637874161897
239.0,-144.27670727903504
240.0,-253.80558532794362
241.0,-141.47800396158516
242.0,-62.8600816543118
243.0,-131.11996739645906
244.0,-239.83723149191763
245.0,-95.87267237816262
246.0,-306.20926385718195
247.0,-79.89777553642176
248.0,-135.72197766826804
249.0,-143.84798379137573
250.0,-117.06119604610925
251.0,-105.9769340345459
252.0,-249.77001635509419
253.0,-38.72380088370833
254.0,-300.40939413068304
255.0,-252.52860616354917
256.0,-137.20559599177653
257.0,-160.1362783878057
258.0,-109.33440850863371
259.0,-101.0247000675133
260.0,-129.75437711804162
261.0,-119.5951468084327
262.0,-70.61852221667559
263.0,-116.51772770667722
264.0,-135.2516723954224
265.0,-140.5029496105721
266.0,-167.2206112211126
267.0,-118.80109031336741
268.0,-132.2750036995868
269.0,-197.13771994951952
270.0,-140.6543645934604
271.0,-68.3558965146749
272.0,-97.79524126443724
273.0,-156.44154264518218
274.0,-80.64059636222765
275.0,-137.5520892004024
276.0,-128.9508551964236
277.0,-147.35199832170053
278.0,-144.9094862015329
279.0,-132.13639066338007
280.0,-123.4572132586307
281.0,-156.2915192574734
282.0,-94.88261657836236
283.0,-158.30638026949782
284.0,-106.41714487289252
285.0,-126.35291592253861
286.0,-208.47402695625675
287.0,-187.24550341022587
288.0,-110.16654817201385
289.0,-87.91084063202976
290.0,-86.25668761987083
291.0,-122.73364099849087
292.0,-170.7672251481971
293.0,-143.54719038671848
294.0,-169.15210831690266
295.0,-109.09476294290658
296.0,-132.08637543313498
297.0,-153.64580286423438
298.0,41.978739896262084
299.0,-171.83085799479244
300.0,-163.3519808766183
301.0,-139.31355188966936
302.0,-153.6854868696924
303.0,-109.40780234428954
304.0,-122.54816008726351
305.0,-164.57026659056478
306.0,-122.61996794554227
307.0,-102.81420590045465
308.0,-148.89823195380276
309.0,-118.267115075243
310.0,-152.47517016056514
311.0,-101.10510455964715
312.0,-112.550459671991
313.0,-112.33827200699076
314.0,-126.47476784501728
315.0,-132.01391607893876
316.0,-111.27416079112433
317.0,-116.41190575799101
318.0,-99.35712486671306
319.0,-126.30124324948369
320.0,-117.97024266596642
321.0,-97.86673255374265
322.0,-130.77322855541675
323.0,-131.77963748152624
324.0,-174.16935954020892
325.0,-128.27279248311336
326.0,-113.64569211729446
327.0,-151.73326843875435
328.0,-116.62444697188474
329.0,-139.0171331703215
330.0,-111.35964956538953
331.0,-160.2781211872728
332.0,-160.39389670174614
333.0,-100.48058599980848
334.0,-110.17279890202337
